level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,12,11,170,27,93.304138,Nutrition
5,1,1,1,1,2,199,11,106,27,90.878693,Facts
5,1,1,1,2,1,12,42,60,18,96.849518,Serving
5,1,1,1,2,2,78,42,35,14,96.961777,Size
5,1,1,1,2,3,118,42,20,14,96.319542,22
5,1,1,1,2,4,144,42,51,18,96.953011,pieces
5,1,1,1,2,5,201,42,40,18,95.885422,(30g)
5,1,1,1,3,1,13,62,69,18,93.144188,Servings
5,1,1,1,3,2,88,62,27,14,96.591225,Per
5,1,1,1,3,3,120,62,78,14,96.021507,Container
5,1,1,1,3,4,203,62,45,14,96.949127,about
5,1,1,1,3,5,253,62,25,14,96.350548,4.5
5,1,1,1,4,1,13,100,56,10,88.148735,Amount
5,1,1,1,4,2,74,100,25,10,82.26194,Per
5,1,1,1,4,3,104,100,54,12,92.666534,Sorving
5,1,1,1,5,1,13,124,80,14,96.805725,Calories
5,1,1,1,5,2,101,124,28,14,69.914818,130
5,1,1,1,5,3,151,124,66,14,45.857132,Calories
5,1,1,1,5,4,222,124,35,14,95.70092,from
5,1,1,1,5,5,264,124,25,14,96.02507,Fat
5,1,1,1,5,6,294,124,19,14,96.02507,60
5,1,1,1,6,2,225,156,35,13,88.251923,Dally
5,1,1,1,6,3,265,156,49,11,48.257847,Valuo*
5,1,1,1,7,1,13,178,50,14,96.934921,Total
5,1,1,1,7,2,70,178,31,14,96.961792,Fat
5,1,1,1,7,3,108,178,18,18,93.38501,69
5,1,1,1,7,4,287,179,27,13,78.197609,9%
5,1,1,1,8,1,28,204,78,14,96.194672,Saturated
5,1,1,1,8,2,112,204,25,14,94.464279,Fat
5,1,1,1,8,3,142,204,34,17,85.500801,3.59
5,1,1,1,8,4,275,204,39,14,96.577385,18%
5,1,1,1,9,1,29,230,133,21,96.559715,Polyunsaturated
5,1,1,1,9,2,168,230,26,15,96.577362,Fat
5,1,1,1,9,3,201,231,18,20,83.465828,19
5,1,1,1,10,1,29,256,143,14,95.845787,Monounsaturated
5,1,1,1,10,2,179,256,25,14,96.806862,Fat
5,1,1,1,10,3,212,256,33,18,85.912132,1.59
5,1,1,1,11,1,30,282,45,14,96.334206,Trans
5,1,1,1,11,2,82,282,25,14,96.334206,Fat
5,1,1,1,11,3,113,282,19,17,94.031273,0g
5,1,2,1,1,1,13,115,300,4,95.0, 
5,1,3,1,1,1,13,171,300,4,95.0, 
5,1,4,1,1,1,12,300,301,4,95.0, 
5,1,5,1,1,1,13,326,300,4,95.0, 
5,1,6,1,1,1,13,455,300,3,95.0, 
5,1,7,1,1,1,13,308,111,14,91.927376,Cholesterol
5,1,7,1,1,2,131,308,34,17,92.3125,Omg
5,1,7,1,1,3,287,309,27,13,80.954102,0%
5,1,7,2,1,1,13,333,72,14,96.424492,Sodium
5,1,7,2,1,2,91,333,55,18,95.886993,210mg
5,1,7,2,1,3,287,334,27,13,92.252373,9%
5,1,7,3,1,1,13,359,102,14,96.771317,Potassium
5,1,7,3,1,2,121,359,44,18,96.016846,90mg
5,1,7,3,1,3,288,360,26,13,96.130234,3%
5,1,7,4,1,1,13,385,50,14,96.0886,Total
5,1,7,4,1,2,68,385,133,17,95.043098,Carbohydrate
5,1,7,4,1,3,205,384,29,18,92.022774,20g
5,1,7,4,1,4,287,385,27,14,57.960632,To
5,1,7,4,2,1,29,411,56,20,92.542747,Dietary
5,1,7,4,2,2,91,411,40,15,96.444435,Fiber
5,1,7,4,2,3,137,411,18,20,96.444435,2g
5,1,7,4,2,4,287,413,27,13,95.504471,8%
5,1,7,4,3,1,28,437,57,18,95.745712,Sugars
5,1,7,4,3,2,90,437,19,18,95.393738,69
5,1,7,5,1,1,13,463,69,14,94.767197,Protein
5,1,7,5,1,2,91,463,18,17,82.239731,1g
5,1,8,1,2,1,13,502,107,14,70.250992,VitaminA0%
5,1,8,1,2,3,201,502,59,14,92.828148,Vitamin
5,1,8,1,2,4,265,502,13,14,90.594727,C
5,1,8,1,2,5,284,502,25,14,96.585754,0%
5,1,8,1,3,1,13,526,64,15,96.42347,Calcium
5,1,8,1,3,2,82,526,26,15,90.815979,2%
5,1,8,1,3,4,202,526,29,15,53.812592,tron
5,1,8,1,3,5,237,526,25,15,80.767944,4%
5,1,8,2,1,1,14,549,46,12,50.875137,*Percart
5,1,8,2,1,2,66,540,25,31,77.412003,Daily
5,1,8,2,1,3,97,540,30,31,95.373245,Values
5,1,8,2,1,4,134,540,13,31,96.253632,are
5,1,8,2,1,5,154,540,27,31,96.550316,based
5,1,8,2,1,6,188,540,11,31,93.321182,on
5,1,8,2,1,7,203,552,6,9,94.867638,a
5,1,8,2,1,8,214,540,29,31,95.525772,"2,000"
5,1,8,2,1,9,247,540,35,31,81.644638,calorie
5,1,8,2,1,10,286,540,24,31,74.846298,det.
5,1,9,1,1,1,12,519,301,4,95.0, 
5,1,10,1,1,1,13,544,300,4,95.0, 
5,1,11,1,1,1,0,4,11,565,95.0, 
5,1,12,1,1,1,316,8,6,557,95.0, 
